input_prompt,true_ans,closest_ans,exact solution found
Bi[[000000000000000000000][022222444444441111100][022222444444441111100][022222444444441111100][022222444444441111100][022222444444441111100][022222444444441111100][088888333333338888800][088888333333338888800][088888333333338888800][088888333333338888800][088888333333338888800][088888333333338888800][088888333333338888800][088888333333338888800][022222444444442222200][022222444444442222200][022222444444442222200][022222444444442222200][000000000000000000000][000000000000000000000]]to[[241][838][242]]i[[000000000000000000000][000000000000000000000][008888882222220000000][008888882222220000000][008888882222220000000][008888882222220000000][008888882222220000000][003333333333330000000][003333333333330000000][003333333333330000000][003333333333330000000][003333333333330000000][003333333333330000000][004444441111110000000][004444441111110000000][004444441111110000000][004444441111110000000][004444441111110000000][004444441111110000000][000000000000000000000][000000000000000000000]]to[[82][33][41]]EttttttTi[[000000000000000000000][022222228888888800000][022222228888888800000][022222228888888800000][022222228888888800000][022222228888888800000][022222228888888800000][022222228888888800000][022222228888888800000][011111114444444400000][011111114444444400000][011111114444444400000][011111114444444400000][011111114444444400000][011111114444444400000][011111114444444400000][000000000000000000000][000000000000000000000][000000000000000000000][000000000000000000000][000000000000000000000]]o,[[28][14]]F,[[83][13]]F,
Bi[[55550555505555][55550500500550][55550500500550][55550555505555]]to[[222][888][333]]i[[55550555505555][05500555505555][05500500505555][55550500505555]]to[[333][444][222]]EttttTi[[55550555505555][50050555505555][50050555505005][55550555505005]]o,[[888][222][444]]F,[[55][222][2222]]F,
Bi[[55550555505555][55550500500550][55550500500550][55550555505555]]to[[222][888][333]]i[[55550555505555][05500555505555][05500500505555][55550500505555]]to[[333][444][222]]EttttTi[[55550555505555][55550555505555][55550500505555][55550500505555]]o,[[222][444][222]]F,[[333][333][303]]F,
Bi[[55550555505555][55550500500550][55550500500550][55550555505555]]to[[222][888][333]]i[[55550555505555][55550055005005][50050055005005][50050555505555]]to[[444][333][888]]EttttTi[[55550555505555][05500555505555][05500500505555][55550500505555]]o,[[333][444][222]]F,[[777][777][777]]F,
Bi[[55550555505555][55550555505555][55550500505555][55550500505555]]to[[222][444][222]]i[[55550555505555][55550500500550][55550500500550][55550555505555]]to[[222][888][333]]EttttTi[[55550555505555][50050555505555][50050555505005][55550555505005]]o,[[888][222][444]]F,[[55][222][2922]]F,
Bi[[55550555505555][50050555505555][50050555505005][55550555505005]]to[[888][222][444]]i[[55550555505555][55550055005005][50050055005005][50050555505555]]to[[444][333][888]]EttttTi[[55550555505555][55550500500550][55550500500550][55550555505555]]o,[[222][888][333]]F,[[444][444][444]]F,
Bi[[55550555505555][05500555505555][05500500505555][55550500505555]]to[[333][444][222]]i[[55550555505555][55550055005005][50050055005005][50050555505555]]to[[444][333][888]]EttttTi[[55550555505555][50050555505555][50050555505005][55550555505005]]o,[[888][222][444]]F,[[444][44][4444]]F,
Bi[[55550555505555][05500555505555][05500500505555][55550500505555]]to[[333][444][222]]i[[55550555505555][55550055005005][50050055005005][50050555505555]]to[[444][333][888]]EttttTi[[55550555505555][55550555505555][55550500505555][55550500505555]]o,[[222][444][222]]F,[[244][24][2424]]F,
Bi[[55550555505555][55550555505555][55550500505555][55550500505555]]to[[222][444][222]]i[[55550555505555][55550055005005][50050055005005][50050555505555]]to[[444][333][888]]EttttTi[[55550555505555][05500555505555][05500500505555][55550500505555]]o,[[333][444][222]]F,[[777][777][777]]F,
Bi[[55550555505555][55550555505555][55550500505555][55550500505555]]to[[222][444][222]]i[[55550555505555][55550055005005][50050055005005][50050555505555]]to[[444][333][888]]EttttTi[[55550555505555][50050555505555][50050555505005][55550555505005]]o,[[888][222][444]]F,[[24][244][2424]]F,
Bi[[2135111881115312][1257178888717521][3544182992814453][5744889229884475][1118441111448111][1788000991748871][1829000331119281][8892000113912988][8892193113912988][1829111331119281][1788471991748871][1118441111448111][5744889229884475][3544182992814453][1257178888717521][2135111881115312]]to[[471][111][193]]i[[3331776666771333][3313776116773133][3188669779668813][1385617997165831][7766335115336677][7761331111331677][6697516116157966][6179111441119716][6179000441119716][6697000116157966][7761000111331677][7766335115336677][1385617997165831][3188669779668813][3313776116773133][3331776666771333]]to[[111][516][331]]EtttttTi[[9353395555933539][3936955885596393][5333556666553335][3636586666856363][3955552112555593][9558581661858559][5566219339126655][5866163993000685][5866163993000685][5566219339000655][9558581661858559][3955552112555593][3636586666856363][5333556666553335][3936955885596393][9353395555933539]]o,[[616][616][126]]F,[[699][995][995]]F,
Bi[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]to[[23][23][23]]i[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]EtttttTi[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]o,[[468][468][468][468][468]]F,[[88866][8886][8636][8366]]F,
Bi[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]i[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]to[[148][148][148]]EtttttTi[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]o,[[468][468][468][468][468]]F,[[683][683][663][663][666]]F,
Bi[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]to[[148][148][148]]i[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]EtttttTi[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]o,[[468][468][468][468][468]]F,[[666][486][486][446][666]]F,
Bi[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]i[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]to[[521][521][521][521]]EtttttTi[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]o,[[468][468][468][468][468]]F,[[433][443][666][556][336]]F,
Bi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]to[[2][2][2][2][2]]i[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]to[[468][468][468][468][468]]EttttTi[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]o,[[23][23][23]]F,[[22][22][23]]F,
Bi[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]to[[23][23][23]]i[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]to[[468][468][468][468][468]]EttttTi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]o,[[2][2][2][2][2]]F,[[717][171][713]]F,
Bi[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]to[[148][148][148]]i[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]to[[2][2][2][2][2]]EtttttTi[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]o,[[468][468][468][468][468]]F,[[666][468][688][844][344]]F,
Bi[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]to[[468][468][468][468][468]]i[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]to[[2][2][2][2][2]]EttttTi[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]o,[[521][521][521][521]]F,[[52][19][89][58][59]]F,
Bi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]to[[2][2][2][2][2]]i[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]to[[468][468][468][468][468]]EttttTi[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]o,[[521][521][521][521]]F,[[599][528][888][599]]F,
Bi[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]to[[521][521][521][521]]i[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]to[[2][2][2][2][2]]EtttttTi[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]o,[[468][468][468][468][468]]F,[[648][648][556][456][336]]F,
Bi[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]to[[468][468][468][468][468]]i[[0000000000][0000000000][0000000000][0080000000][0080006000][0080006000][0000000000][0000000000][0000440000][0000000000]]to[[8][8][8]]EttttTi[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]o,[[23][23][23]]F,[[42][22][20]]F,
Bi[[0000000000][0000000000][0000000000][0080000000][0080006000][0080006000][0000000000][0000000000][0000440000][0000000000]]to[[8][8][8]]i[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]to[[468][468][468][468][468]]EttttTi[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]o,[[23][23][23]]F,[[2233][2233]]F,
Bi[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]to[[468][468][468][468][468]]i[[0000000000][0000000000][0000000000][0080000000][0080006000][0080006000][0000000000][0000000000][0000440000][0000000000]]to[[8][8][8]]EttttTi[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]o,[[148][148][148]]F,[[481][511][188]]F,
Bi[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]to[[148][148][148]]i[[0000000000][0000000000][0000000000][0080000000][0080006000][0080006000][0000000000][0000000000][0000440000][0000000000]]to[[8][8][8]]EtttttTi[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]o,[[468][468][468][468][468]]F,[[686][686][556][556][566]]F,
Bi[[0000000000][0000000000][0000000000][0080000000][0080006000][0080006000][0000000000][0000000000][0000440000][0000000000]]to[[8][8][8]]i[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]to[[468][468][468][468][468]]EttttTi[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]o,[[521][521][521][521]]F,[[599][988][922][592]]F,
Bi[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]to[[148][148][148]]i[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]to[[23][23][23]]EtttttTi[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]o,[[468][468][468][468][468]]F,[[686][663][648][445][588]]F,
Bi[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]to[[468][468][468][468][468]]i[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]to[[23][23][23]]EttttTi[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]o,[[521][521][521][521]]F,[[888][599][522][892]]F,
Bi[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]to[[23][23][23]]i[[0000000000][0000000888][0040000008][0040066008][0044006000][0040066000][0000000000][0330000000][3300000000][0000000000]]to[[468][468][468][468][468]]EttttTi[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]o,[[521][521][521][521]]F,[[599][888][599][888]]F,
Bi[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]i[[0000000000][0000000000][0000000000][0080000000][0080006000][0080006000][0000000000][0000000000][0000440000][0000000000]]to[[8][8][8]]EttttTi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]o,[[2][2][2][2][2]]F,[[371][371][330]]F,
Bi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]to[[2][2][2][2][2]]i[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]EttttTi[[0000000000][0000000000][0000000000][0080000000][0080006000][0080006000][0000000000][0000000000][0000440000][0000000000]]o,[[8][8][8]]F,[[68][684]]F,
Bi[[0000000000][0000000000][0000000000][0080000000][0080006000][0080006000][0000000000][0000000000][0000440000][0000000000]]to[[8][8][8]]i[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]EttttTi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]o,[[2][2][2][2][2]]F,[[333][322][440]]F,
Bi[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]i[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]to[[2][2][2][2][2]]EttttTi[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]o,[[23][23][23]]F,[[33][22][44]]F,
Bi[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]i[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]to[[23][23][23]]EttttTi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]o,[[2][2][2][2][2]]F,[[333][777][777]]F,
Bi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]to[[2][2][2][2][2]]i[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]EttttTi[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]o,[[23][23][23]]F,[[2222][2222]]F,
Bi[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]i[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]to[[2][2][2][2][2]]EttttTi[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]o,[[148][148][148]]F,[[111][418][118]]F,
Bi[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]i[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]to[[148][148][148]]EttttTi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]o,[[2][2][2][2][2]]F,[[377][371][371]]F,
Bi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]to[[2][2][2][2][2]]i[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]EttttTi[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]o,[[148][148][148]]F,[[333][333][334]]F,
Bi[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]i[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]to[[521][521][521][521]]EttttTi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]o,[[2][2][2][2][2]]F,[[617][527][133]]F,
Bi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]to[[2][2][2][2][2]]i[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]EttttTi[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]o,[[521][521][521][521]]F,[[588][588][595][888]]F,
Bi[[0000000000][0000000000][0000000000][0080000000][0080006000][0080006000][0000000000][0000000000][0000440000][0000000000]]to[[8][8][8]]i[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]EttttTi[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]o,[[148][148][148]]F,[[444][483][488]]F,
Bi[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]i[[0000000000][0000000000][0000000000][0080000000][0080006000][0080006000][0000000000][0000000000][0000440000][0000000000]]to[[8][8][8]]EttttTi[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]o,[[521][521][521][521]]F,[[599][888][888][598]]F,
Bi[[0000000000][0000000000][0000000000][0080000000][0080006000][0080006000][0000000000][0000000000][0000440000][0000000000]]to[[8][8][8]]i[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]EttttTi[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]o,[[521][521][521][521]]F,[[599][988][887][588]]F,
Bi[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]i[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]to[[23][23][23]]EttttTi[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]o,[[148][148][148]]F,[[111][133][404]]F,
Bi[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]i[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]to[[23][23][23]]EttttTi[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]o,[[521][521][521][521]]F,[[599][888][599][888]]F,
Bi[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]to[[23][23][23]]i[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]EttttTi[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]o,[[521][521][521][521]]F,[[249][292][888][888]]F,
Bi[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]i[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]to[[148][148][148]]EttttTi[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]o,[[521][521][521][521]]F,[[599][882][544][882]]F,
Bi[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]to[[94][94][94][94][94][94][94][94][94]]i[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]to[[521][521][521][521]]EttttTi[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]o,[[148][148][148]]F,[[333][333][304]]F,
Bi[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]to[[148][148][148]]i[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]to[[521][521][521][521]]EtttttTi[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]o,[[94][94][94][94][94][94][94][94][94]]F,[[5666][5145][5196][5196][1596][9152]]F,
Bi[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]to[[521][521][521][521]]i[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]to[[148][148][148]]EtttttTi[[0000000444][0000000404][0000000004][0900060044][0990060004][9900666000][0900006000][0990000000][0900000000][0000000000]]o,[[94][94][94][94][94][94][94][94][94]]F,[[4111][9119][5166][5196][9115][9111]]F,
Bi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]to[[2][2][2][2][2]]i[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]to[[23][23][23]]EttttTi[[0000000000][0000000000][0000000000][0080000000][0080006000][0080006000][0000000000][0000000000][0000440000][0000000000]]o,[[8][8][8]]F,[[8][8][8]]F,found
Bi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]to[[2][2][2][2][2]]i[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]to[[23][23][23]]EttttTi[[0000000000][0000000000][0000000000][0080000000][0080006000][0080006000][0000000000][0000000000][0000440000][0000000000]]o,[[8][8][8]]F,[[8][8][8]]F,
Bi[[0000000000][0000000000][0000000000][0080000000][0080006000][0080006000][0000000000][0000000000][0000440000][0000000000]]to[[8][8][8]]i[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]to[[148][148][148]]EttttTi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]o,[[2][2][2][2][2]]F,[[187][177][117]]F,
Bi[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]to[[148][148][148]]i[[0000000000][0000000000][0000000000][0080000000][0080006000][0080006000][0000000000][0000000000][0000440000][0000000000]]to[[8][8][8]]EttttTi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]o,[[2][2][2][2][2]]F,[[711][717][171]]F,
Bi[[0000000000][0000000000][0000000000][0080000000][0080006000][0080006000][0000000000][0000000000][0000440000][0000000000]]to[[8][8][8]]i[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]to[[521][521][521][521]]EttttTi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]o,[[2][2][2][2][2]]F,[[352][135][962]]F,
Bi[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]to[[521][521][521][521]]i[[0000000000][0000000000][0000000000][0080000000][0080006000][0080006000][0000000000][0000000000][0000440000][0000000000]]to[[8][8][8]]EttttTi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]o,[[2][2][2][2][2]]F,[[217][712][133]]F,
Bi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]to[[2][2][2][2][2]]i[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]to[[148][148][148]]EttttTi[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]o,[[23][23][23]]F,[[11][22][10]]F,
Bi[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]to[[23][23][23]]i[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]to[[2][2][2][2][2]]EttttTi[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]o,[[148][148][148]]F,[[111][118][881]]F,
Bi[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]to[[23][23][23]]i[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]to[[148][148][148]]EttttTi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]o,[[2][2][2][2][2]]F,[[118][187][187]]F,
Bi[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]to[[148][148][148]]i[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]to[[2][2][2][2][2]]EttttTi[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]o,[[23][23][23]]F,[[66][22][20]]F,
Bi[[0000000000][0000000000][0100000000][0100000888][0100000000][0004400000][0004000000][0000000000][0000000000][0000000000]]to[[148][148][148]]i[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]to[[23][23][23]]EttttTi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]o,[[2][2][2][2][2]]F,[[117][717][222]]F,
Bi[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]to[[23][23][23]]i[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]to[[521][521][521][521]]EttttTi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]o,[[2][2][2][2][2]]F,[[717][177][152]]F,
Bi[[0000000010][0050000111][0550000000][0050000000][0000000000][0000099000][8000000000][8002200000][8002000000][0002000000]]to[[521][521][521][521]]i[[0000000000][0000000000][0000033000][0000003000][0200000000][0220000000][0000000000][0000000000][0000000000][0000000000]]to[[23][23][23]]EttttTi[[0000000001][7770022001][0070002201][0000002001][0000000000][0003000000][0003300000][0000000000][0000000000][0000000000]]o,[[2][2][2][2][2]]F,[[711][715][172]]F,
